id,sourceId,destinationId,distance,roadName,roadType,speedLimit
R001,LOC01,LOC05,0.12,Bulevardi Skënderbeu,MAIN_ROAD,40
R002,LOC01,LOC07,0.18,Rruga Luigj Gurakuqi,MAIN_ROAD,40
R003,LOC01,LOC08,0.10,Rruga Abdyl Frashëri,SECONDARY_ROAD,30
R004,LOC01,LOC12,0.15,Rruga Ismail Qemali,SECONDARY_ROAD,30
R005,LOC01,LOC23,0.05,Sheshi Toka Jonë,MAIN_ROAD,30
R006,LOC05,LOC13,0.14,Bulevardi Skënderbeu,MAIN_ROAD,40
R007,LOC05,LOC11,0.20,Rruga Kongresi Lushnjes,MAIN_ROAD,50
R008,LOC05,LOC03,0.25,Rruga Luigj Gurakuqi,SECONDARY_ROAD,30
R009,LOC05,LOC17,0.09,Rruga Liria,SECONDARY_ROAD,30
R010,LOC05,LOC25,0.08,Bulevardi Skënderbeu,MAIN_ROAD,40
R011,LOC02,LOC12,0.13,Rruga Spitalit,SECONDARY_ROAD,30
R012,LOC02,LOC06,0.22,Rruga e Kavajës,MAIN_ROAD,50
R013,LOC02,LOC08,0.18,Rruga Abdyl Frashëri,SECONDARY_ROAD,30
R014,LOC02,LOC20,0.08,Rruga Spitalit,SECONDARY_ROAD,30
R015,LOC02,LOC29,0.05,Rruga Spitalit,RESIDENTIAL_STREET,20
R016,LOC03,LOC07,0.22,Rruga Shkolla,SECONDARY_ROAD,30
R017,LOC03,LOC17,0.19,Rruga Liria,RESIDENTIAL_STREET,20
R018,LOC03,LOC24,0.10,Rruga Luigj Gurakuqi,RESIDENTIAL_STREET,20
R019,LOC04,LOC10,0.17,Rruga Pazarit,SECONDARY_ROAD,30
R020,LOC04,LOC15,0.14,Rruga Miqësia,RESIDENTIAL_STREET,20
R021,LOC04,LOC08,0.12,Rruga Qendrore,SECONDARY_ROAD,30
R022,LOC06,LOC10,0.18,Rruga e Stacionit,SECONDARY_ROAD,30
R023,LOC06,LOC16,0.20,Rruga e Kavajës,MAIN_ROAD,50
R024,LOC06,LOC31,0.04,Rruga Stacioni,RESIDENTIAL_STREET,20
R025,LOC07,LOC14,0.16,Rruga Skënderbej,MAIN_ROAD,40
R026,LOC07,LOC13,0.15,Rruga Parku,SECONDARY_ROAD,30
R027,LOC07,LOC26,0.05,Rruga Parku,SECONDARY_ROAD,30
R028,LOC08,LOC12,0.11,Rruga Abdyl Frashëri,SECONDARY_ROAD,30
R029,LOC09,LOC15,0.20,Rruga Teknike,RESIDENTIAL_STREET,20
R030,LOC09,LOC04,0.22,Rruga Skola-Treg,RESIDENTIAL_STREET,20
R031,LOC09,LOC03,0.14,Rruga Shkolla,SECONDARY_ROAD,30
R032,LOC10,LOC18,0.16,Rruga Jugut,SECONDARY_ROAD,30
R033,LOC11,LOC16,0.18,Rruga Adriatik,SECONDARY_ROAD,30
R034,LOC11,LOC32,0.05,Rruga Kongresi Lushnjes,MAIN_ROAD,50
R035,LOC12,LOC05,0.13,Rruga Ismail Qemali,SECONDARY_ROAD,30
R036,LOC12,LOC35,0.05,Rruga Xhamise,SECONDARY_ROAD,30
R037,LOC13,LOC14,0.17,Bulevardi Verior,MAIN_ROAD,40
R038,LOC13,LOC21,0.07,Rruga Ismail Qemali,SECONDARY_ROAD,30
R039,LOC14,LOC17,0.22,Rruga Kompleksit,SECONDARY_ROAD,30
R040,LOC14,LOC34,0.10,Rruga Çlirimit,SECONDARY_ROAD,30
R041,LOC15,LOC18,0.25,Rruga Skënderbej,SECONDARY_ROAD,30
R042,LOC16,LOC06,0.05,Rruga e Kavajës,MAIN_ROAD,50
R043,LOC17,LOC27,0.06,Rruga Liria,SECONDARY_ROAD,30
R044,LOC18,LOC07,0.12,Rruga Jugut,SECONDARY_ROAD,30
R045,LOC19,LOC01,0.08,Rruga Qendrore,SECONDARY_ROAD,30
R046,LOC19,LOC05,0.10,Bulevardi Skënderbeu,MAIN_ROAD,40
R047,LOC20,LOC02,0.08,Rruga Spitalit,SECONDARY_ROAD,30
R048,LOC21,LOC22,0.20,Bulevardi Skënderbeu,MAIN_ROAD,40
R049,LOC21,LOC01,0.15,Rruga Ismail Qemali,SECONDARY_ROAD,30
R050,LOC22,LOC11,0.10,Rruga Kongresi Lushnjes,MAIN_ROAD,50
R051,LOC23,LOC01,0.05,Sheshi Toka Jonë,MAIN_ROAD,30
R052,LOC23,LOC30,0.02,Sheshi Toka Jonë,RESIDENTIAL_STREET,20
R053,LOC24,LOC03,0.10,Rruga Luigj Gurakuqi,RESIDENTIAL_STREET,20
R054,LOC24,LOC07,0.15,Rruga Luigj Gurakuqi,SECONDARY_ROAD,30
R055,LOC25,LOC05,0.08,Bulevardi Skënderbeu,MAIN_ROAD,40
R056,LOC25,LOC01,0.12,Bulevardi Skënderbeu,MAIN_ROAD,40
R057,LOC26,LOC07,0.05,Rruga Parku,SECONDARY_ROAD,30
R058,LOC26,LOC01,0.20,Rruga Qendrore,SECONDARY_ROAD,30
R059,LOC27,LOC05,0.12,Rruga Liria,SECONDARY_ROAD,30
R060,LOC27,LOC17,0.06,Rruga Liria,SECONDARY_ROAD,30
R061,LOC28,LOC01,0.05,Sheshi Toka Jonë,RESIDENTIAL_STREET,20
R062,LOC28,LOC23,0.04,Sheshi Toka Jonë,RESIDENTIAL_STREET,20
R063,LOC29,LOC02,0.05,Rruga Spitalit,RESIDENTIAL_STREET,20
R064,LOC30,LOC01,0.08,Sheshi Toka Jonë,RESIDENTIAL_STREET,20
R065,LOC31,LOC06,0.04,Rruga Stacioni,RESIDENTIAL_STREET,20
R066,LOC32,LOC11,0.05,Rruga Kongresi Lushnjes,MAIN_ROAD,50
R067,LOC32,LOC22,0.12,Bulevardi Skënderbeu,MAIN_ROAD,40
R068,LOC33,LOC07,0.08,Rruga Kongresi Lushnjes,SECONDARY_ROAD,30
R069,LOC33,LOC05,0.15,Rruga Kongresi Lushnjes,SECONDARY_ROAD,30
R070,LOC34,LOC08,0.12,Rruga Çlirimit,SECONDARY_ROAD,30
R071,LOC34,LOC14,0.10,Rruga Çlirimit,SECONDARY_ROAD,30
R072,LOC35,LOC13,0.05,Rruga Xhamise,SECONDARY_ROAD,30
R073,LOC35,LOC12,0.05,Rruga Xhamise,SECONDARY_ROAD,30
